Unnamed: 0,borough,parenthesis,post_id,post_date,post_time,update_date,update_time,title,price,images,square_footage,housing_type,description,bedroom,bathroom,cat,dog,laundry,parking,post_id_old,smoking,furnished,URL,Reason,SPAM
<built-in function id>,san gabriel valley,Claremont,6751358620.0,2018-11-17,9:36am,2018-12-01,4:09pm,"Beautiful, Spacious Home on 1/4 Acre Lot!",$699000,1.0,2245,house,"RE/MAX Masters Diana Verlingo Lic # 01037125 show contact info BED / BATH: 3/2 SQFT(src): 2,245 PRICE PER SQFT: $311.36 LOT(src): 0.2338/10,186 (A) LEVELS: One GARAGE: 2/Attached YEAR BUILT(src): 1955 PROP SUB TYPE: SFR This spacious home is in beautiful condition* 1/4 acre lot! *features include Fruit trees and nice landscape* hardwood flooring*Remodeled kitchen with granite counters* white cabinetry and stainless steel appliances include convection oven*dishwasher*eating area in kitchen*indoor laundry room*formal living room*spacious family room with cozy fireplace*large office or bonus room*ceiling fans*recessed lighting*full sized double sink bathroom*3/4 bathroom with pedestal sink*four ample sized bedrooms*room for R.V.*block walls* RE/MAX Masters Diana Verlingo Lic # 01037125 show contact info **Information deemed reliable, but not guaranteed. This data was collected from CRMLS. Please call agent for more information.",3.0,2.0,,,,,,,,,,False
<built-in function id>,SF valley,ENCINO,6762557193.0,2018-12-01,3:56pm,,,ROOM FOR RENT PRIVATE ROOM / PRIVATE ENTRANCE / PRIVATE BATHROOM,$900,,,house,"* LOCATED IN BEAUTIFUL AND PEACEFUL ENCINO * MUST SEE * IF YOU LOVE PRIVACY THIS IS FOR YOU. * PRIVATE ROOM / PRIVATE ENTRANCE / PRIVATE BIG BATHROOM * FREE WATER, POWER AND INTERNET * CLOSE TO 101 AND 405 FREEWAYS * NEAR BALBOA LAKE & PARK / NEAR VENTURA BLVD / NEAR TRADER JOE'S / NEAR RESTAURANTS / NEAR SUPERMARKETS / NEAR BUS STOP * NO KITCHEN, NO LAUNDRY PRIVILEGES * MICROWAVE, FRIDGE WITH FREEZER, TOASTER AND FULL SIZE BED PROVIDED IN THE ROOM. * NO DRUGS / NO ALCOHOL / NO SMOKING / NO OVERNIGHT VISITORS / NO PARTY IN THE ROOM / NO PETS / NO CRIMINAL RECORDS / NO ADDICTS / NO CONVICTIONS / NO ROOM SHARING / NO DRAMA * RENTER MUST BE TRUSTWORTHY, CLEAN AND PAY RENT ON TIME * THIS LISTING IS FOR 1 PERSON ONLY * SAFE, FREE STREET PARKING * MONTH TO MONTH * TOTAL COST TO MOVE IN $ 1,500 * FIRST MONTH RENT $ 900 + DEPOSIT $ 600 = $ 1,500 * AVAILABLE NOW * SHOWING IS BY APPOINTMENT ONLY * PLEASE SEND A DESCRIPTION OF YOURSELF WITH YOUR PHONE NUMBER AND WE WILL CALL YOU * NAGSASALITA NG TAGALOG * DO NOT CONTACT WITH UNSOLICITED SERVICES OR OFFERS * THANKS FOR LOOKING",,,,,,street parking,,no smoking,furnished,,,False
<built-in function id>,westside-southbay,4157 Via Marina,6762565752.0,2018-12-01,4:10pm,,,1 Bedroom1 Bath w/ Private Viranda!,$2958,6.0,1011,apartment,"Call Us Today show contact info This 813 sq. ft. 1 Bedroom 1 Bath features inviting amenities. Perfect layout for many different furniture arrangement options. Many of our floor plans feature large windows where you can gaze out on Courtyard View. Call to learn more! show contact info Located between Venice Beach and Playa Vista, you'll be a few steps to the beach and surrounded by shopping, recreation and dining. Office Hours Monday: 09:00 AM - 06:00 PM Tuesday: 09:00 AM - 07:00 PM Wednesday: 10:00 AM - 06:00 PM Thursday: 09:00 AM - 07:00 PM Friday: 09:00 AM - 06:00 PM Saturday: 10:00 AM - 05:00 PM Sunday: 11:00 AM - 05:00 PM Marina 41 Apartments 4157 Via Marina More Photos http://www.equityapartments.com/los-angeles/marina-del-rey/marina-41-apartments?ilsid=93",1.0,1.0,cats are OK - purrr,dogs are OK - wooof,w/d in unit,attached garage,,no smoking,,,,False
<built-in function id>,san gabriel valley,Jurupa Valley,6751357331.0,2018-11-17,9:35am,2018-12-01,4:09pm,"Nice 5 Bedroom, Single Story Home for Sale!",$559000,1.0,2059,house,"RE/MAX Masters Cathy Eichhorst show contact info LA State Lic # 00887685 BED / BATH: 5/3,1 SQFT(src): 2,059 PRICE PER SQFT: $295.77 LOT(src): 0.1627/7,089 LEVELS: Two GARAGE: 3/Attached YEAR BUILT(src): 2018 PROP SUB TYPE: SFR Nice 5 bedroom single story home with many upgrades thruout. Stainless steel appliances . Close to schools shoppping. RE/MAX Masters Cathy Eichhorst show contact info LA State Lic # 00887685 **Information deemed reliable, but not guaranteed. This data was collected from CRMLS. Please call agent for more information.",,,,,,,,,,,,False
<built-in function id>,san gabriel valley,GLENDALE/LA CRESCENTA,6762565730.0,2018-12-01,4:10pm,,,$2795. SPACIOUS 2 + 1 HOUSE FOR LEASE,$2795,4.0,1100,house,"$2,795. EXTRA LARGE 2 BEDROOM 1 BATH HOUSE FOR LEASE. NEWLY UPGRADED. ALL NEW PAINT THROUGHOUT. ALL NEW FLOORING. HARDWOOD FLOORING IN LIVING ROOM, TILE IN KITCHEN, CARPET IN BEDROOMS LIVING ROOM HAS HARDWOOD FLOORING, FIREPLACE, FORMAL DINING AREA. LARGE ENTRY WAY, WITH LARGE CLOSETS & LOTS OF STORAGE. KITCHEN ALSO HAS DINE IN AREA, NEW TILE FLOORS & NEW STAINLESS APPLIANCES. LOCATED NEAR CRESCENTA VALLEY PARK. BLUE RIBBON GLENDALE SCHOOL DISTRICT. 1 COVERED PARKING SPACE. AVAILABLE DECEMBER 1ST.. NO SMOKING. POSSIBLE PET WITH DEPOSIT. TO SEE CALL MAUREEN @ show contact info TEXT FOR MORE PICS.",2.0,1.0,,,w/d hookups,carport,,no smoking,,,,False
<built-in function id>,westside-southbay,Westchester/LAX,6762565671.0,2018-12-01,4:10pm,,,Completely Remodeled 1 Bedroom In Westchester*Plank Floors*W/D In Unit,$2395,7.0,755,apartment,"Westchester Apartments is a collection of 4 buildings on West 86th Place, conveniently close to LAX, Loyola Marymount University, the 405 freeway and multiple shops, restaurants, and entertainment. Apartment Amenities: Washer/Dryer In Unit Vaulted Ceilings* Stainless Steel Appliances* Hardwood Floors* Fireplace* Patio/Balcony Carpeting* Ceiling Fan* Disposal Large Closets Dishwasher Microwave* Air Conditioner* Community Amenities: Bike Racks Laundry Facilities Recycling Property Manager on Site Whirlpool Spa Website: www.westchesteraptsla.com show contact info Key Terms: Redondo Beach, Los Angeles, Lawndale, Santa Monica, Manhattan Beach, Hawthorne, Hermosa Beach, Carson, Marina Del Rey, Culver City, Gardena, Playa Del Rey, El Segundo, Venice, Playa Vista, LAX",1.0,1.0,,,w/d in unit,,,,,,,False
<built-in function id>,san gabriel valley,Hacienda Heights,6751356417.0,2018-11-17,9:34am,2018-12-01,4:09pm,Nice Townhouse in a Planned Community!,$598000,,1686,townhouse,"RE/MAX Masters Cathy Eichhorst show contact info LA State Lic # 00887685 BED / BATH: 3/3 SQFT(src): 1,686 PRICE PER SQFT: $354.69 LOT(src): 2.9934/130,391 LEVELS: Two GARAGE: 2/A ttached YEAR BUILT(src): 1986 (PUB) PROP SUB TYPE: SFR Nice townhouse in planned community! 3 Bedroom, 3 Bath. 2 Car attached garage. RE/MAX Masters Cathy Eichhorst show contact info LA State Lic # 00887685 **Information deemed reliable, but not guaranteed. This data was collected from CRMLS. Please call agent for more information.",3.0,3.0,,,,,,,,,,False
<built-in function id>,central LA,,6748141509.0,2018-11-13,11:20am,2018-12-01,4:18pm,"Awesome roommate wanted in 2 bedroom, 2 bath right by Runyon.",$1350,17.0,950,apartment,"Looking for a new roommate :) The details: 2 bedroom, 2 bath in Pinnacle Luxury Apartments right by Runyon. You literally can't get closer to Runyon. Apartment is on the 2nd floor facing Fuller Ave. So let's start with the negatives and get those out of the way: It's LOUD in the morning (if you're like me and like to sleep with the sliding door open (it slides open to a small balcony). So if noise bothers you in the morning, this place isn't for you. Second negative, It's pretty dark in the apartment, not a lot of light gets through to the living room and kitchen. Your room gets sun since it opens to the balcony. Now to all the positives! -Right by Runyon -Gym in building, with dry sauna, open 24 hours -Pool and hot tub on the roof, heated year round + BBQ and amazing 360 views of LA, open 8am-10pm -Right by the heart of Hollywood and easy access to WEHO and the 101. -Parking spot (dual parking so kind of pain but we leave each other's spare keys in cars) -Apartment was newly renovated when we moved in 2 years ago so it's nice inside. -Wood flooring in common areas and carpet in bedrooms -Gas fireplace (for show, doesn't really heat much but looks nice) -Decent sized walk in closet -AC & central heating -Everything is furnished, except your room. -Rooms are on opposite ends from each other with living room in between. -60 inch plasma + apple tv in living room -Laundry rooms on each floor, they take cards that you can refill online or in the machine in the lobby -Right up the hill from Rock n' Roll Ralph's, open 24 hours. -I'm awesome lol A little about me: I'm a video editor and writer. I work from home (in my room) so would rather someone who has a 9-5 or isn't always home. In the spring, summer, and fall I hit up Runyon 3 or 4 times a week. I try to hit up the beach weekly in the summer but that doesn't always happen. Diverse group of friends, some in the restaurant/bar industry, some in the entertainment industry, and others with corporate type jobs. What I'm looking for: -Non smoker (cigarettes, weed is ok, unless you smoke 24/7) (it's a non smoking building) -Cleanliness! I'm a bit OCD in the sense I like my place clean! If you're messy or a slob, we aren't a fit! -Professional, mid 20s and up -Someone who isn't going to party every night, or bring the party home, or have a boyfriend/girlfriend over every night. I'm very respectful of shared spaces. Looking for the same! -No couples, pets, or children! Rent is $1350 plus utilities (gas/water/electric & internet) usually between $100 and $200. Deposit is $300. We are month to month so no obligation to stay, but you will need to sign onto the lease. You can check the website for the building here to see more images https://www.pinnacleaptsla.com If it seems like we will be a good fit, come over and check out the place and we can take it from there! Look forward to meeting you! Also, please send an email or text with a little bit about yourself, I'm getting too many random texts just asking if the room is open! Jeremiah",,,,,laundry in bldg,attached garage,,,furnished,,,False
<built-in function id>,san gabriel valley,Covina,6751354735.0,2018-11-17,9:33am,2018-12-01,4:09pm,Super Nice 2 Bedroom and 2 Bath Modular Home!,$84900,1.0,,manufactured,"RE/MAX Masters Catherine Eichhorst CalDRE #00887685 show contact info Br/Ba: 2/2 Sale Type: Standard Year Built: 2004 Pool: Yes Property Type: MH Super nice 2 bedroom and 2 bath remodeled inside. Shows very well. Kind of small but perfect for a single RE/MAX Masters Catherine Eichhorst CalDRE #00887685 show contact info ***Information deemed reliable, but not guaranteed. This data was collected from CRMLS. Please call agent for more information.",,,,,,,,,,,,False
<built-in function id>,westside-southbay,5211 Pacific Concourse Dr,6762565621.0,2018-12-01,4:10pm,,,Unique 2BD/ 2BA Loft - Unparalleled Space. Exceptional Style. Luxury,$3345,8.0,1278,apartment,"Call Us Today show contact info This highly sought after and unique two bedroom loft is our only one and is currently available as of the 28th of December. This apartment home features over 1278 square feet of space, full-size washer/dryer, loft with fireplace, lush interiors, and fully-equipped kitchen with stainless steel appliances, this home is built to amaze. This is a must see before it's gone! At Pacific Place Apartments, live the luxurious Los Angeles lifestyle where the city meets the surf. Whether you prefer the relaxed pace of the South Bay beach communities or the energy and excitement of Santa Monica and West LA, at Pacific Place you can experience the best of both worlds. Live in the center of all that Los Angeles has to offer. Pacific Place has a variety of studios, 1, 2, and 3 bedroom homes. All floor plans are available with lofts and 24 ft ceilings. Conveniently located near LAX, Manhattan Beach, and Marina del Rey. Enjoy urban luxury living with a relaxed coastal vibe. We offer the following at our smoke-free and pet-friendly community: Large 24-hour Fitness Center; Outdoor BBQ Area with 3 Grills; Extra Storage; Extra Parking; Clubhouse with TV and Kitchen; Reserved Covered Parking; Billiard and Shuffleboard; Conference Room; 7 Elevators; Gated Entrance; Two Spas; Dry Cleaning Locker Service; 2 Swimming Pools; Controlled Access Community; Package Service with 24-hour Access; AT&T Fiber and Spectrum Internet Available (as an option) and an Incredible Staff Team! Office Hours Monday: 09:00 AM - 06:00 PM Tuesday: 09:00 AM - 06:00 PM Wednesday: 10:00 AM - 06:00 PM Thursday: 09:00 AM - 07:00 PM Friday: 09:00 AM - 06:00 PM Saturday: 10:00 AM - 05:00 PM Sunday: 12:00 PM - 05:00 PM Pacific Place Apartments 5211 Pacific Concourse Dr More Photos http://www.equityapartments.com/los-angeles/el-segundo/pacific-place-apartments?ilsid=93",2.0,2.0,cats are OK - purrr,,w/d in unit,detached garage,,no smoking,,,,False
<built-in function id>,westside-southbay,4157 Via Marina,6762565585.0,2018-12-01,4:09pm,,,Oceanscape 2 Bedroom w/ Balcony & Extra Den!,$4242,7.0,1450,apartment,"Call Us Today show contact info Call now to reserve this renovated apartment including stainless steel appliances, granite counter top and hard surface flooring. In-unit w/d. Plenty of closet space. Reserve today! show contact info . Located between Venice Beach and Playa Vista, you'll be a few steps to the beach and surrounded by shopping, recreation and dining. Office Hours Monday: 09:00 AM - 06:00 PM Tuesday: 09:00 AM - 07:00 PM Wednesday: 10:00 AM - 06:00 PM Thursday: 09:00 AM - 07:00 PM Friday: 09:00 AM - 06:00 PM Saturday: 10:00 AM - 05:00 PM Sunday: 11:00 AM - 05:00 PM Marina 41 Apartments 4157 Via Marina More Photos http://www.equityapartments.com/los-angeles/marina-del-rey/marina-41-apartments?ilsid=93",2.0,2.0,cats are OK - purrr,dogs are OK - wooof,w/d in unit,attached garage,,no smoking,,,,False
<built-in function id>,san gabriel valley,Azusa,6751351055.0,2018-11-17,9:29am,2018-12-01,4:08pm,Commercial Muffler Shop and Land!,$1150000,1.0,1053,land,"RE/MAX Masters Catherine Eichhorst CalDRE #00887685 show contact info Buildings: 1 Sale Type: Standard Sqft/Lsqft: 1,053/8,750 Property Type: COMM A great muffler shop and land, sits on a corner lot with lots of parking. It has been in business for many years and has a great following. Super location lots of traffic. RE/MAX Masters Catherine Eichhorst CalDRE #00887685 show contact info ***Information deemed reliable, but not guaranteed. This data was collected from CRMLS. Please call agent for more information.",,,,,,,,,,,,False
<built-in function id>,central LA,Hollywood,6760928670.0,2018-11-29,3:43pm,2018-12-01,4:08pm,"Resort pool and deck, Custom Cabinetry, New Fitness Center",$2375,4.0,730,apartment,"A complete re-design of these spacious apartments is underway. They are located just off the world famous Hollywood & Highland intersection. Walk across the street to the Metro station. Countless creative industry employers, restaurants, clubs and shops are within walking distance. No need for a car at this prime address. -Custom Cabinetry -Online Service Requests -In-home washer/dryer -Online Rent Payment -BBQ area -Stainless Steel Appliances -Resort pool and deck -Garage Parking -Fitness Center -Fireplace (select apartments) -High-Speed Internet -Quartz Countertops Call: show contact info",1.0,1.0,cats are OK - purrr,dogs are OK - wooof,w/d in unit,attached garage,,no smoking,,,,False
